Id;splMass;StdC23;Gonadwt;Idweight;splDate;C14.0iso;C14:0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C17.0iso;C17.0anteiso;C17.0;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w11;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.3w6;C20.4w3;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
GO_M02GL18;22.7;40;4.72;98.55;11/01/21;NA;4.8;4.2;NA;2.3;3.7;24.5;9.3;3.9;NA;7.7;41.7;10.7;36.6;3.5;9.4;2.9;2.6;17.5;14.5;11.5;6.8;9.7;7.6;67.6;2.2;NA;122.2;5.6;4;5.8;24.6;20.9;7.4;13.1;12.4
GO_M02GL20;24.4;40;16.51;110.05;08/03/21;NA;4.3;4;NA;2.2;3.5;24.8;8.2;3.8;NA;10.1;44.5;9.7;51.2;3.3;10;2.9;NA;18.1;13.7;12.9;8.6;11.4;8.2;89.9;2.4;NA;133.1;5.4;3.9;7.1;26.1;23;8.1;14.7;11.5
GO_M03GL10;21.3;40;26.05;87.28;02/12/19;NA;1.2;1.2;NA;NA;1.7;16.9;3.9;3.2;1.1;9;51.8;9.7;55.7;2.8;9.6;3.1;NA;22.8;16.4;15.2;10.4;13.9;8.3;97.9;2.8;1.5;156.1;8.9;2;9;41.8;31.1;16.7;20.2;15.7
GO_M03GL11;28.4;40;33.08;142.85;22/01/20;4.3;16.3;12.5;5.2;6.4;10.9;59.6;25.1;14.3;4.9;35.8;186.4;48.6;205.2;17.2;40;14.4;7.4;89.8;69.1;67.2;37.6;51.4;35.6;398.7;10.9;9.1;560.9;31.5;0;23;86.5;15.1;36.8;48;55.3
GO_M03GL13;26.3;40;5.15;93.35;22/05/20;3.4;24.4;14.1;4.5;5;8.4;42.5;47.8;7.5;2.5;9.2;54.8;16.8;48;7.7;11;5.6;14.3;22.4;16.4;15;6.7;11.3;7.2;72.5;2.9;4.2;156.3;16.2;2.2;6.5;28.4;3.8;8.3;35.4;12.5
GO_M03GL14;26.6;40;20.24;119.3;03/07/20;4.9;14.1;13.1;4;6.3;7.9;51;31.4;10.7;2.6;15.1;57.5;13.3;52.5;5.2;12.9;4.2;4.4;16.6;17.1;12;5.9;9.8;6.5;58.5;2.8;3;138.7;12.9;4.2;6.4;21.3;3.8;9.7;37.3;11
GO_M03GL20;29.7;40;17.2;111.82;08/03/21;2.3;8.3;8.2;3.4;3.8;6.6;37;15.3;6.2;2.3;13.6;66.4;17.4;62.6;5.4;14;4.9;3.6;23.3;23.8;17.5;11.5;15.8;10.5;115;3.1;NA;182.6;7.5;6.4;8.6;27.5;29.3;11.5;21.8;16.8
GO_M04GL13;31;40;3.32;85.1;22/05/20;6;34.4;26;8;9.7;16.4;78.7;54.1;15.3;5.1;15.6;69.1;25.3;59.3;10.5;14.3;8.8;15.3;28.4;25.3;23.9;8;15;11.1;93.6;4.3;5.4;166.8;9.5;5.3;10.3;29.8;5.7;14;77.6;20.4
GO_M04GL17;23.5;40;11.62;91.77;28/09/20;NA;5.5;3.7;NA;2.1;2.7;27.7;10.5;3.7;NA;7.6;45.5;8.6;43;3;8.7;3;3;18.4;12.9;13;6.8;9.6;7.2;73.5;2.1;NA;128;7;4.1;5;24;3.8;7.6;16.5;10.5
GO_M05GL11;29.9;40;15.35;117.02;22/01/20;NA;1.6;2.2;1;1.3;3.9;30;6.5;5.6;2.1;15.3;73.9;13.3;73.5;4.6;16.4;3.1;NA;40.4;23.1;21.2;14.2;20.6;16.8;157.8;4.1;2.2;220.7;15.6;2.7;10.6;43.5;43.7;21.9;24;21.2
GO_M05GL18;21.7;40;8.76;113.22;11/01/21;NA;2.8;2.4;NA;NA;2.5;25.9;6.4;3.6;NA;9.9;45.2;9.8;46.1;3.2;9;2.9;NA;17.6;17.8;14.6;7.9;11.8;8.7;83.8;2.4;NA;136;7;4.9;7.3;30.1;24.9;8.4;14;14.6
GO_M06GL10;26.1;40;12.42;93.44;02/12/19;NA;6.6;4.5;NA;2.8;3.4;33.6;9.8;4.8;NA;10.1;57.2;14.2;65.4;6.8;11.1;5.8;3.2;31.7;17.8;16.6;9.8;13.9;8;120.3;2.9;2.3;139.9;8.7;4.4;9.5;29.2;5.5;9;20.3;14.6
GO_M06GL14;24.8;40;12.42;93.44;03/07/20;2.3;8.8;6.7;2.2;2.6;5.1;27.7;16.3;6.1;NA;11;47.1;10.6;48.4;3.7;11.9;3.2;5.8;18.3;17.9;13.4;8.2;13;9.4;79.4;3.3;2.7;145.1;7.2;4.9;8.1;32.4;15.1;12.3;38.9;10.8
GO_M07GL11;25.8;40;37.33;178.15;22/01/20;NA;4.8;4.6;2.1;2.4;3.5;32;9.5;5.1;NA;12.2;63.6;18.2;62.6;5.9;13.6;4.8;NA;28.1;19.2;20;11.3;16.2;9.2;114.2;3.6;NA;150.1;8.3;5.8;7;29;5;9.5;17.1;14.5
GO_M07GL17;30.7;40;23.71;93.76;28/09/20;NA;5.7;3.4;NA;NA;2.8;32.4;11.8;4.1;NA;10.2;71.3;12.6;58.7;4.8;13;4.1;3.8;26.4;17.1;15.8;9.2;14;9.4;102.4;3.3;2.5;188.2;7.9;4.6;6.3;29.1;4.5;10.2;21.6;11.7
GO_M08GL14;26.4;40;9.14;116.25;03/07/20;6.2;21.9;17.7;5.7;8.4;12.5;81.3;45.5;15.8;4.2;22.8;113.5;24.4;98.7;9.1;22.5;7.3;7.7;38.3;35.4;24.3;13.2;20.8;13.6;138.9;4.9;4.6;297.3;27.5;7.3;10.3;35.4;7.6;20.1;68.9;13.7
GO_M08GL18;28.5;40;7.29;72.12;11/01/21;2.1;8;6.8;2.9;3.8;5.3;35.4;14.8;5.3;NA;12.4;60.3;15;56.3;4.9;12.4;4.6;3.7;27.2;20.8;16.1;10.5;15.4;11.4;110;3;2.2;171;8.6;5.1;9.3;30.9;29.6;11;17.2;15.6
