Id,splMass,Gonadwt,Idweight,splDate,Cant1,Canthaxanthin,Echi1,Echinenone,Astaxanthin
GO_F13_GL20,14.2,9.52,89.13,08/03/21,0.0837568918518853,0.335875890660208,0.00831387687131795,0.00752730021778157,1.78805796288689
GO_F14_GL20,13.9,6.94,90.69,08/03/21,0.0712276288341795,0.22204213591065,0.00434892692951102,0.0075095692332654,1.2042017813445
GO_M01_GL10,46.9,25.34,119.27,02/12/19,0.0268902078031508,0.11185040181658,0.000632188686998117,0.00103344086733025,0.207843688521832
GO_M01_GL14,53.1,21.29,98.51,03/07/20,0.00399235361446792,0.0115590694582648,9.05126498996048e-05,6.50161288011246e-05,0.0299236695084079
GO_M01_GL15,36.9,30.6,213.41,29/07/20,0.019643852381558,0.0817062930908404,0.00229313223294258,0.00201245284763041,0.535904891504092
GO_M01_GL16,32.2,17.25,119.56,26/08/20,0.0316546094191913,0.155754464269471,0.00209596843869303,0.00191517276594719,0.769211763582376
GO_M01_GL17,35.6,39.26,135.45,28/09/20,0.0137348735774717,0.050847008215804,0.000578054834522622,0.000678834131330843,0.154309511691948
GO_M01_GL20,43.6,12.65,138.82,08/03/21,0.0104598140618497,0.0456746664368834,0.000374176066685047,0.000482857911780289,0.110289071722434
GO_M01_GL21,30.4,2.33,80.66,01/04/21,0.0549641748729541,0.193728747607954,0.00163888953776705,0.00126924869093372,0.899682636024954
GO_M01_GL23,35.8,6.98,95.53,16/07/21,0.0483294231330927,0.172450276458897,0.00175094865967169,0.00133495653750347,0.593173678467179
GO_M02_GL10,31.1,24.18,100.3,02/12/19,0.0340582337463437,0.135845597680299,0.000890242597370874,0.00120150101161057,0.404688020196283
GO_M02_GL13,44,2.87,121.61,22/05/20,0.0112615063603128,0.03594671105632,0.000455391045474401,0.000689240501258553,0.203963617440689
GO_M02_GL14,43.1,6.43,106.37,03/07/20,0.0303107911389956,0.133776378491696,0.00221927102897367,0.00188001940671018,0.425149244099716
